Vertical	Validated In (Page)	Error Message/Content	Action Button	Impact	Compatibility with Flight	Implement in Bundling Flow	Figma Link
Accommodation	Room List to Booking Form	All the rooms you selected are fully booked It's okay! You can see other available rooms or change your stay dates. (Code: ###)	1. Change dates Redirects to room list with calender opened  2. See other rooms Redirects to room list	Disrupts flow	Relevant; Separated		https://www.figma.com/design/grKiCt3TeCEDar1yuixINk/-Responsive--Accommodation-Error-Handling-4.0?node-id=3713-110935&t=hf2Ht2AhKHfdZRYw-0
Accommodation	Room List to Booking Form	The room capacity for Deluxe Room with Breakfast has been updated from 3 adults to 2 adults, 1 child. Please ensure this matches the number of guests for the stay.	1. See other rooms Redirects to room list  2. Continue booking Closes dialog	May disrupt flow - step back	Not Relevant		https://www.figma.com/design/grKiCt3TeCEDar1yuixINk/-Responsive--Accommodation-Error-Handling-4.0?node-id=1710-37791&t=EiaSlIP170OQMBau-0
Accommodation	Room List to Booking Form	The policy for Deluxe Room with Breakfast has been updated from 100% Refund & Reschedule to Refund & reschedule not allowed.	1. See other rooms Redirects to room list  2. Continue booking Closes dialog	May disrupt flow - step back	Relevant; Separated		https://www.figma.com/design/grKiCt3TeCEDar1yuixINk/-Responsive--Accommodation-Error-Handling-4.0?node-id=1711-41101&t=EiaSlIP170OQMBau-0
Accommodation	Room List to Booking Form	Here are the new policy details for Deluxe Room with Breakfast:  - Refund or reschedule without any charges until 29 Dec 2021 (23:59). - A fee of IDR 500,000 will apply for submission after 29 Dec 2021 (23:59). - No refund or reschedule is allowed on and after the check-in date (2 Jan 2022). If you don’t show up for check-in, there is no refund.	1. Continue booking Closes dialog	Does not disrupt flow	Relevant; Separated		https://www.figma.com/design/grKiCt3TeCEDar1yuixINk/-Responsive--Accommodation-Error-Handling-4.0?node-id=1711-48229&t=EiaSlIP170OQMBau-0
Acommodation	Room List to Booking Form	The travel policy for Deluxe Room with Breakfast has been changed from In-policy to Out-policy	1. Continue booking Closes dialog	Does not disrupt flow			https://www.figma.com/design/grKiCt3TeCEDar1yuixINk/-Responsive--Accommodation-Error-Handling-4.0?node-id=1711-51550&t=EiaSlIP170OQMBau-0
Accommodation	Room List to Booking Form	The meal plans for Deluxe Room with Breakfast have been updated from Breakfast (3 pax) to Lunch (1 pax).	1. Continue booking Closes dialog	Does not disrupt flow	Relevant; Separated		https://www.figma.com/design/grKiCt3TeCEDar1yuixINk/-Responsive--Accommodation-Error-Handling-4.0?node-id=1711-51578&t=EiaSlIP170OQMBau-0
Accommodation	Room List to Booking Form	Here are the new benefits for Deluxe Room with Breakfast:  Free tropical welcome juice, free joining our culture experience and retreat program, ...	1. Continue booking Closes dialog	Does not disrupt flow	Relevant; Separated		https://www.figma.com/design/grKiCt3TeCEDar1yuixINk/-Responsive--Accommodation-Error-Handling-4.0?node-id=1711-51658&t=EiaSlIP170OQMBau-0
Accommodation	Room List to Booking Form	The payment method for Deluxe Room with Breakfast has been updated from Pay at Hotel to Pay Now. Please back to the room options page to choose another room.	1. See other rooms Redirects to room list	Disrupts flow	Not Relevant		https://www.figma.com/design/grKiCt3TeCEDar1yuixINk/-Responsive--Accommodation-Error-Handling-4.0?node-id=1711-48229&t=EiaSlIP170OQMBau-0
Accommodation	Room List to Booking Form	Total price has changed from IDR 1,000,000 to IDR 1,050,000. Continue your booking and check the price details on the payment page.	1. Go to the payment page Redirects to payment page	Does not disrupt flow	Relevant; Combined		https://www.figma.com/design/grKiCt3TeCEDar1yuixINk/-Responsive--Accommodation-Error-Handling-4.0?node-id=1711-48708&t=EiaSlIP170OQMBau-0
Accommodation	Room List to Booking Form	An error occurred in this service provider’s system. You can continue your booking without Extra Protections, and the total price has been updated from IDR 1,000,000 to IDR 900,000.	1. Continue booking Closes dialog	Does not disrupt flow	Relevant; Separated		https://www.figma.com/design/grKiCt3TeCEDar1yuixINk/-Responsive--Accommodation-Error-Handling-4.0?node-id=3058-82029&t=EiaSlIP170OQMBau-0
Accommodation	Room List to Booking Form	The {{list of error related to}} have been changed.	1. See other rooms Redirects to room list  2. See changes & continue booking Opens bottomsheet. In the bottomsheet, every room will have its own expand collapse section. In each section, the changes listed above will be listed (if relevant to corresponding rooms)  In the bottomsheet, the action button will be "Continue booking" that will close the dialog	May disrupt flow - step back	Not Relevant		https://www.figma.com/design/grKiCt3TeCEDar1yuixINk/-Responsive--Accommodation-Error-Handling-4.0?node-id=1711-47926&t=EiaSlIP170OQMBau-0
Accommodation	Booking Form to Payment Page	All the rooms you selected are fully booked It's okay! You can see other available rooms or change your stay dates. (Code: ###)	1. Change dates Redirects to room list with calender opened  2. See other rooms Redirects to room list	Disrupts flow	Relevant; Separated		https://www.figma.com/design/grKiCt3TeCEDar1yuixINk/-Responsive--Accommodation-Error-Handling-4.0?node-id=3713-110935&t=hf2Ht2AhKHfdZRYw-0
Accommodation	Booking Form to Payment Page	The room capacity for Deluxe Room with Breakfast has been updated from 3 adults to 2 adults, 1 child. Please ensure this matches the number of guests for the stay.	1. See other rooms Redirects to room list  2. Continue booking Closes dialog	May disrupt flow - step back	Not Relevant		https://www.figma.com/design/grKiCt3TeCEDar1yuixINk/-Responsive--Accommodation-Error-Handling-4.0?node-id=1711-51471&t=EiaSlIP170OQMBau-0
Accommodation	Booking Form to Payment Page	The policy for Deluxe Room with Breakfast has been updated from 100% Refund & Reschedule to Refund & reschedule not allowed.	1. See other rooms Redirects to room list  2. Continue booking Closes dialog	May disrupt flow - step back	Relevant; Separated		https://www.figma.com/design/grKiCt3TeCEDar1yuixINk/-Responsive--Accommodation-Error-Handling-4.0?node-id=1711-51518&t=EiaSlIP170OQMBau-0
Accommodation	Booking Form to Payment Page	Here are the new policy details for Deluxe Room with Breakfast:  - Refund or reschedule without any charges until 29 Dec 2021 (23:59). - A fee of IDR 500,000 will apply for submission after 29 Dec 2021 (23:59). - No refund or reschedule is allowed on and after the check-in date (2 Jan 2022). If you don’t show up for check-in, there is no refund.	1. Continue booking Closes dialog	Does not disrupt flow	Relevant; Separated		https://www.figma.com/design/grKiCt3TeCEDar1yuixINk/-Responsive--Accommodation-Error-Handling-4.0?node-id=1711-48229&t=EiaSlIP170OQMBau-0
Acommodation	Booking Form to Payment Page	The travel policy for Deluxe Room with Breakfast has been changed from In-policy to Out-policy	1. Continue booking Closes dialog	Does not disrupt flow			https://www.figma.com/design/grKiCt3TeCEDar1yuixINk/-Responsive--Accommodation-Error-Handling-4.0?node-id=1711-51550&t=EiaSlIP170OQMBau-0
Accommodation	Booking Form to Payment Page	The meal plans for Deluxe Room with Breakfast have been updated from Breakfast (3 pax) to Lunch (1 pax).	1. Continue booking Closes dialog	Does not disrupt flow	Relevant; Separated		https://www.figma.com/design/grKiCt3TeCEDar1yuixINk/-Responsive--Accommodation-Error-Handling-4.0?node-id=1711-51578&t=EiaSlIP170OQMBau-0
Accommodation	Booking Form to Payment Page	Here are the new benefits for Deluxe Room with Breakfast:  Free tropical welcome juice, free joining our culture experience and retreat program, ...	1. Continue booking Closes dialog	Does not disrupt flow	Relevant; Separated		https://www.figma.com/design/grKiCt3TeCEDar1yuixINk/-Responsive--Accommodation-Error-Handling-4.0?node-id=1711-51658&t=EiaSlIP170OQMBau-0
Accommodation	Booking Form to Payment Page	The payment method for Deluxe Room with Breakfast has been updated from Pay at Hotel to Pay Now. Please back to the room options page to choose another room.	1. See other rooms Redirects to room list	Disrupts flow	Not Relevant		https://www.figma.com/design/grKiCt3TeCEDar1yuixINk/-Responsive--Accommodation-Error-Handling-4.0?node-id=1711-48468&t=EiaSlIP170OQMBau-0
Accommodation	Booking Form to Payment Page	Total price has changed from IDR 1,000,000 to IDR 1,050,000. Continue your booking and check the price details on the payment page.	1. Go to the payment page Redirects to payment page	Does not disrupt flow	Relevant; Combined		https://www.figma.com/design/grKiCt3TeCEDar1yuixINk/-Responsive--Accommodation-Error-Handling-4.0?node-id=1711-48708&t=EiaSlIP170OQMBau-0
Accommodation	Booking Form to Payment Page	An error occurred in this service provider’s system. You can continue your booking without Extra Protections, and the total price has been updated from IDR 1,000,000 to IDR 900,000.	1. Continue booking Closes dialog	Does not disrupt flow	Relevant; Separated		https://www.figma.com/design/grKiCt3TeCEDar1yuixINk/-Responsive--Accommodation-Error-Handling-4.0?node-id=3058-82029&t=EiaSlIP170OQMBau-0
Accommodation	Booking Form to Payment Page	The {{list of error related to}} have been changed.	1. See other rooms Redirects to room list  2. See changes & continue booking Opens bottomsheet. In the bottomsheet, every room will have its own expand collapse section. In each section, the changes listed above will be listed (if relevant to corresponding rooms)  In the bottomsheet, the action button will be "Continue booking" that will close the dialog	May disrupt flow - step back	Not Relevant		https://www.figma.com/design/grKiCt3TeCEDar1yuixINk/-Responsive--Accommodation-Error-Handling-4.0?node-id=1711-47926&t=EiaSlIP170OQMBau-0
